K6b · conservative excursion sets · HEAD=3c5ca889fc8bf8a02fb956f98a388678a8db5098
cell d=6 sigma=0.25 · arms=('lhs', 'sobol', 'random')
theta = tau_frac * mu_max, tau_frac=(0.6, 0.75, 0.85, 0.95) (margin 1 absorbed)
subset=2000 Sobol seed 0 · 512 joint draws

50 pairs x 3 arms = 150 campaigns

[  1/50] lhs            033466197eba3ddb seed=0 a*=0.992..0.227 (1.8s)
[  1/50] sobol          033466197eba3ddb seed=0 a*=0.971..0.055 (0.7s)
[  1/50] random         033466197eba3ddb seed=0 a*=0.957..0.059 (0.7s)
[  2/50] lhs            033466197eba3ddb seed=1 a*=0.955..0.051 (0.6s)
[  2/50] sobol          033466197eba3ddb seed=1 a*=0.953..0.008 (0.4s)
[  2/50] random         033466197eba3ddb seed=1 a*=0.971..0.053 (0.5s)
[  3/50] lhs            0a6e0788538a7c52 seed=0 a*=0.979..0.096 (0.5s)
[  3/50] sobol          0a6e0788538a7c52 seed=0 a*=0.953..0.043 (0.8s)
[  3/50] random         0a6e0788538a7c52 seed=0 a*=0.945..0.049 (0.6s)
[  4/50] lhs            0a6e0788538a7c52 seed=1 a*=0.949..0.043 (0.5s)
[  4/50] sobol          0a6e0788538a7c52 seed=1 a*=0.975..0.035 (0.5s)
[  4/50] random         0a6e0788538a7c52 seed=1 a*=0.936..0.062 (0.5s)
[  5/50] lhs            0ed87c75239d73f8 seed=0 a*=0.990..0.156 (0.5s)
[  5/50] sobol          0ed87c75239d73f8 seed=0 a*=0.973..0.027 (0.5s)
[  5/50] random         0ed87c75239d73f8 seed=0 a*=0.992..0.059 (0.5s)
[  6/50] lhs            0ed87c75239d73f8 seed=1 a*=0.895..0.016 (0.5s)
[  6/50] sobol          0ed87c75239d73f8 seed=1 a*=0.965..0.137 (0.5s)
[  6/50] random         0ed87c75239d73f8 seed=1 a*=0.994..0.072 (0.6s)
[  7/50] lhs            32bb966a18f1d863 seed=0 a*=0.982..0.139 (0.5s)
[  7/50] sobol          32bb966a18f1d863 seed=0 a*=0.895..0.012 (0.5s)
[  7/50] random         32bb966a18f1d863 seed=0 a*=0.934..0.016 (0.5s)
[  8/50] lhs            32bb966a18f1d863 seed=1 a*=0.988..0.082 (0.5s)
[  8/50] sobol          32bb966a18f1d863 seed=1 a*=0.875..0.035 (0.6s)
[  8/50] random         32bb966a18f1d863 seed=1 a*=0.998..0.211 (0.6s)
[  9/50] lhs            443c180247c17191 seed=0 a*=0.953..0.045 (0.5s)
[  9/50] sobol          443c180247c17191 seed=0 a*=0.934..0.055 (0.5s)
[  9/50] random         443c180247c17191 seed=0 a*=0.969..0.096 (0.5s)
[ 10/50] lhs            443c180247c17191 seed=1 a*=0.922..0.043 (0.5s)
[ 10/50] sobol          443c180247c17191 seed=1 a*=0.908..0.014 (0.4s)
[ 10/50] random         443c180247c17191 seed=1 a*=0.984..0.076 (0.5s)
[ 11/50] lhs            48b1324dd0461cd9 seed=0 a*=0.988..0.135 (0.5s)
[ 11/50] sobol          48b1324dd0461cd9 seed=0 a*=0.982..0.041 (0.6s)
[ 11/50] random         48b1324dd0461cd9 seed=0 a*=0.994..0.086 (0.7s)
[ 12/50] lhs            48b1324dd0461cd9 seed=1 a*=0.943..0.025 (0.5s)
[ 12/50] sobol          48b1324dd0461cd9 seed=1 a*=0.961..0.043 (0.5s)
[ 12/50] random         48b1324dd0461cd9 seed=1 a*=0.998..0.270 (0.6s)
[ 13/50] lhs            4d4f7158b65b52ba seed=0 a*=0.980..0.105 (0.5s)
[ 13/50] sobol          4d4f7158b65b52ba seed=0 a*=0.965..0.041 (0.5s)
[ 13/50] random         4d4f7158b65b52ba seed=0 a*=0.965..0.037 (0.5s)
[ 14/50] lhs            4d4f7158b65b52ba seed=1 a*=0.957..0.107 (0.5s)
[ 14/50] sobol          4d4f7158b65b52ba seed=1 a*=0.922..0.016 (0.5s)
[ 14/50] random         4d4f7158b65b52ba seed=1 a*=0.941..0.018 (0.5s)
[ 15/50] lhs            51cf489c521a6911 seed=0 a*=0.982..0.139 (0.5s)
[ 15/50] sobol          51cf489c521a6911 seed=0 a*=0.951..0.023 (0.5s)
[ 15/50] random         51cf489c521a6911 seed=0 a*=0.949..0.031 (0.5s)
[ 16/50] lhs            51cf489c521a6911 seed=1 a*=0.850..0.018 (0.4s)
[ 16/50] sobol          51cf489c521a6911 seed=1 a*=0.771..0.008 (0.4s)
[ 16/50] random         51cf489c521a6911 seed=1 a*=0.852..0.014 (0.4s)
[ 17/50] lhs            578e5d8768359f0f seed=0 a*=0.998..0.186 (0.6s)
[ 17/50] sobol          578e5d8768359f0f seed=0 a*=0.988..0.055 (0.6s)
[ 17/50] random         578e5d8768359f0f seed=0 a*=0.996..0.080 (0.5s)
[ 18/50] lhs            578e5d8768359f0f seed=1 a*=0.947..0.023 (0.5s)
[ 18/50] sobol          578e5d8768359f0f seed=1 a*=0.965..0.027 (0.5s)
[ 18/50] random         578e5d8768359f0f seed=1 a*=1.000..0.225 (0.6s)
[ 19/50] lhs            59e420274f4385d9 seed=0 a*=0.988..0.088 (0.5s)
[ 19/50] sobol          59e420274f4385d9 seed=0 a*=0.930..0.021 (0.5s)
[ 19/50] random         59e420274f4385d9 seed=0 a*=0.990..0.057 (0.5s)
[ 20/50] lhs            59e420274f4385d9 seed=1 a*=0.932..0.012 (0.4s)
[ 20/50] sobol          59e420274f4385d9 seed=1 a*=0.934..0.037 (0.5s)
[ 20/50] random         59e420274f4385d9 seed=1 a*=0.990..0.064 (0.5s)
[ 21/50] lhs            5b3926ef2c5fe4b6 seed=0 a*=0.986..0.141 (0.5s)
[ 21/50] sobol          5b3926ef2c5fe4b6 seed=0 a*=0.963..0.035 (0.6s)
[ 21/50] random         5b3926ef2c5fe4b6 seed=0 a*=0.969..0.037 (0.5s)
[ 22/50] lhs            5b3926ef2c5fe4b6 seed=1 a*=0.943..0.053 (0.6s)
[ 22/50] sobol          5b3926ef2c5fe4b6 seed=1 a*=0.971..0.025 (0.5s)
[ 22/50] random         5b3926ef2c5fe4b6 seed=1 a*=0.934..0.039 (0.5s)
[ 23/50] lhs            763e0f58925816ca seed=0 a*=0.982..0.139 (0.5s)
[ 23/50] sobol          763e0f58925816ca seed=0 a*=0.926..0.014 (0.5s)
[ 23/50] random         763e0f58925816ca seed=0 a*=0.918..0.008 (0.5s)
[ 24/50] lhs            763e0f58925816ca seed=1 a*=0.961..0.033 (0.5s)
[ 24/50] sobol          763e0f58925816ca seed=1 a*=0.967..0.078 (0.5s)
[ 24/50] random         763e0f58925816ca seed=1 a*=0.975..0.055 (0.6s)
[ 25/50] lhs            7b6071e568a98779 seed=0 a*=0.980..0.070 (0.5s)
[ 25/50] sobol          7b6071e568a98779 seed=0 a*=0.979..0.025 (0.5s)
[ 25/50] random         7b6071e568a98779 seed=0 a*=0.996..0.027 (0.5s)
[ 26/50] lhs            7b6071e568a98779 seed=1 a*=0.934..0.047 (0.5s)
[ 26/50] sobol          7b6071e568a98779 seed=1 a*=0.979..0.094 (0.6s)
[ 26/50] random         7b6071e568a98779 seed=1 a*=0.996..0.131 (0.6s)
[ 27/50] lhs            7ef3fc89acece49c seed=0 a*=1.000..0.121 (0.6s)
[ 27/50] sobol          7ef3fc89acece49c seed=0 a*=0.969..0.029 (0.6s)
[ 27/50] random         7ef3fc89acece49c seed=0 a*=0.998..0.066 (0.6s)
[ 28/50] lhs            7ef3fc89acece49c seed=1 a*=0.893..0.012 (0.5s)
[ 28/50] sobol          7ef3fc89acece49c seed=1 a*=0.980..0.045 (0.5s)
[ 28/50] random         7ef3fc89acece49c seed=1 a*=0.990..0.062 (0.6s)
[ 29/50] lhs            7f5c7431c0530e74 seed=0 a*=0.975..0.113 (0.5s)
[ 29/50] sobol          7f5c7431c0530e74 seed=0 a*=0.943..0.021 (0.5s)
[ 29/50] random         7f5c7431c0530e74 seed=0 a*=0.963..0.033 (0.4s)
[ 30/50] lhs            7f5c7431c0530e74 seed=1 a*=0.971..0.027 (0.4s)
[ 30/50] sobol          7f5c7431c0530e74 seed=1 a*=0.932..0.010 (0.4s)
[ 30/50] random         7f5c7431c0530e74 seed=1 a*=0.967..0.047 (0.5s)
[ 31/50] lhs            8abe35e93ddfcad1 seed=0 a*=0.996..0.211 (0.6s)
[ 31/50] sobol          8abe35e93ddfcad1 seed=0 a*=0.951..0.031 (0.5s)
[ 31/50] random         8abe35e93ddfcad1 seed=0 a*=0.959..0.043 (0.6s)
[ 32/50] lhs            8abe35e93ddfcad1 seed=1 a*=0.992..0.107 (0.5s)
[ 32/50] sobol          8abe35e93ddfcad1 seed=1 a*=0.961..0.025 (0.5s)
[ 32/50] random         8abe35e93ddfcad1 seed=1 a*=0.998..0.203 (0.7s)
[ 33/50] lhs            9414bc879284eef0 seed=0 a*=0.977..0.119 (0.6s)
[ 33/50] sobol          9414bc879284eef0 seed=0 a*=0.967..0.016 (0.5s)
[ 33/50] random         9414bc879284eef0 seed=0 a*=0.955..0.016 (0.5s)
[ 34/50] lhs            9414bc879284eef0 seed=1 a*=0.994..0.117 (0.5s)
[ 34/50] sobol          9414bc879284eef0 seed=1 a*=0.951..0.035 (0.5s)
[ 34/50] random         9414bc879284eef0 seed=1 a*=0.998..0.131 (0.5s)
[ 35/50] lhs            9f3cdb4d835c6909 seed=0 a*=0.990..0.123 (0.6s)
[ 35/50] sobol          9f3cdb4d835c6909 seed=0 a*=0.939..0.010 (0.5s)
[ 35/50] random         9f3cdb4d835c6909 seed=0 a*=0.957..0.025 (0.5s)
[ 36/50] lhs            9f3cdb4d835c6909 seed=1 a*=0.969..0.045 (0.5s)
[ 36/50] sobol          9f3cdb4d835c6909 seed=1 a*=0.955..0.023 (0.5s)
[ 36/50] random         9f3cdb4d835c6909 seed=1 a*=0.998..0.230 (0.6s)
[ 37/50] lhs            c75f6d6f50fe2434 seed=0 a*=0.990..0.160 (0.5s)
[ 37/50] sobol          c75f6d6f50fe2434 seed=0 a*=0.975..0.016 (0.5s)
[ 37/50] random         c75f6d6f50fe2434 seed=0 a*=0.980..0.031 (0.6s)
[ 38/50] lhs            c75f6d6f50fe2434 seed=1 a*=0.916..0.018 (0.5s)
[ 38/50] sobol          c75f6d6f50fe2434 seed=1 a*=0.971..0.061 (0.5s)
[ 38/50] random         c75f6d6f50fe2434 seed=1 a*=0.922..0.035 (0.5s)
[ 39/50] lhs            ce7334da318bc5e5 seed=0 a*=0.994..0.115 (0.6s)
